original,corrected
ستانده_شد,ستانده شد
حلزونها,حلزون ها
چسبناکی,چسب ناکی
ژرفنگری,ژرف نگری
ایستادهایم,ایستاده ایم
نبرده_است,نبرده است
همترازی,هم ترازی
چاخانترین,چاخان ترین
سربازها,سرباز ها
روراست,رو راست
ریلهای,ریل های
برکف,بر کف
روسیاهی,رو سیاهی
یکروزه,یک روزه
رشتههایمحبت,رشته های محبت
دکمههای,دکمه های
گندهها,گنده ها
پرخشونتی,پر خشونتی
بیموقع,بی موقع
بودهاید,بوده اید
هممحلیهای,هم محلی های
میجوید,می جوید
عیبدار,عیب دار
وزغها,وزغ ها
سرطانزا,سرطان زا
بازیچهی,بازیچه ی
بیخبرم,بی خبرم
ماههی,ماهه ی
صنعتگران,صنعت گران
تمسخرآمیز,تمسخر آمیز
جویانهی,جویانه ی
دندهها,دنده ها
کلاهخود,کلاه خود
همکیشانش,هم کیشانش
نافرمان,نا فرمان
خطرها,خطر ها
دوساله,دو ساله
رقابتجو,رقابت جو
زودخشمی,زود خشمی
کرشمهای,کرشمه ای
برانداختن,بر انداختن
جاندار,جان دار
انباشتگاهی,انباشت گاهی
آتیهی,آتیه ی
زهرهام,زهره ام
خندهداری,خنده داری
استعارههای,استعاره های
سرکشید,سر کشید
خروشها,خروش ها
خصومتآمیزی,خصومت آمیزی
گنجشکها,گنجشک ها
ژرفترین,ژرف ترین
شلختهای,شلخته ای
نمیگرفت,نمی گرفت
پیادهی,پیاده ی
زبدهسالاری,زبده سالاری
تندرها,تندر ها
ناملموس,نا ملموس
پاککن,پاک کن
بااندکی,با اندکی
میساید,می ساید
خواهد_پرداخت,خواهد پرداخت
بهارهی,بهاره ی
خواهیم_راضی,خواهیم راضی
نمییابیم,نمی یابیم
کرایهای,کرایه ای
نشانها,نشان ها
شیلنگهای,شیلنگ های
پرفشار,پر فشار
ابلهترین,ابله ترین
مغازهی,مغازه ی
گذاشته_بود,گذاشته بود
پرزداری,پرز داری
نخواهی_داد,نخواهی داد
خوشطبعی,خوش طبعی
جنگلها,جنگل ها
رانقض,را نقض
آذرخشها,آذرخش ها
دعوتنامه,دعوت نامه
بهخارج,به خارج
همسایههایش,همسایه هایش
بیریخت,بی ریخت
دفعهی,دفعه ی
شبانهروز,شبانه روز
خوراکهایی,خوراک هایی
میپرستند,می پرستند
سوالپیچ,سوال پیچ
پرنور,پر نور
همسطح,هم سطح
همجوارند,هم جوارند
بیعنوان,بی عنوان
کارمایهی,کارمایه ی
مسرتبخش,مسرت بخش
خبرهایی,خبر هایی
توجهاند,توجه اند
فروبستن,فرو بستن
کشیده_بودند,کشیده بودند
نداشتهایم,نداشته ایم
آینهای,آینه ای
میشناسم,می شناسم
مینامید,می نامید
مینالد,می نالد
ناپسندی,نا پسندی
سنگوارههای,سنگواره های
آرزوهایی,آرزو هایی
نمیجوشد,نمی جوشد
اشرافزاده,اشراف زاده
کندهکاری,کنده کاری
همنژادان,هم نژادان
دشواریها,دشواری ها
عمهی,عمه ی
کرده_باشند,کرده باشند
زنگها,زنگ ها
برقآسای,برق آسای
نامنویسی,نام نویسی
دیوسیرت,دیو سیرت
گلولهها,گلوله ها
آسیبپذیری,آسیب پذیری
میپراند,می پراند
جیبهایشان,جیب هایشان
همفکری,هم فکری
تقصیرها,تقصیر ها
نافرخندهای,نا فرخنده ای
بیسوادند,بی سوادند
شرطبندی,شرط بندی
رقابتآمیز,رقابت آمیز
یافته_ای,یافته ای
نمیترسیدم,نمی ترسیدم
درکمون,درک مون
زیبایشون,زیبا ی شون
ساعتت,ساعت ت
وحشتناکه,وحشت ناک ه
گناهه,گناه ه
برگشتنت,برگشتن ت
نیمخیز,نیم خیز
ادبیاته,ادبیات ه
بزرگترا,بزرگتر ها
میبندن,می بندن
کوچیکترا,کوچیک تر ها
میگردن,می گردن
عالیجناب,عالی جناب
بیدعوت,بی دعوت
فاشیستها,فاشیست ها
رتبههای,رتبه های
شرفم,شرف م
خواستهها,خواسته ها
معلمم,معلم م
فنردار,فنر دار
جداافتاده,جدا افتاده
جبرگرایی,جبر گرایی
بافتهی,بافته ی
میپردازم,می پردازم
نوشتههایی,نوشته ها یی
شعاعهای,شعاع های
فلسهای,فلس ها ی
ابرقدرتها,ابر قدرت ها
نارنجکانداز,نارنجک انداز
جامهها,جامه ها
نخواهی_کرد,نخواهی کرد
دودستگیهای,دو دستگی ها ی
درنخواهند,در نخواهند
آدمرو,آدم رو
خونخواری,خون خواری
گیاهخواری,گیاه خواری
پخته_شود,پخته شود
دلشاد,دل شاد
پراطناب,پر اطناب
نکردهام,نکرده ام
نثارمان,نثار مان
مصمماند,مصمم اند
هرجوری,هر جوری
خیرهشدن,خیره شدن
مردمداری,مردم داری
ابروانش,ابروان ش
پرپشت,پر پشت
توانبخش,توان بخش
کشتزاد,کشت زاد
شرابها,شراب ها
بویشان,بوی شان
میشناخت,می شناخت
هدفها,هدف ها
طرحها,طرح ها
محترمات,محترم ات
سورچرانی,سور چرانی
برقرارسازی,بر قرار سازی
هنگهی,هنگه ی
بادکرده,باد کرده
جورکن,جور کن
بیپولی,بی پولی
غصهی,غصه ی
میخریدند,می خریدند
انگاشته_شوند,انگاشته شوند
دلپینو,دل پینو
راهگشا,راه گشا
برونریزی,برون ریزی
دختروار,دختر وار
مردهاند,مرده اند
برمیآیم,بر می آیم
سررفت,سر رفت
مرده_بود,مرده بود
دستیابیهای,دست یابی ها ی
معجزهآسای,معجزه آسا ی
برسر,بر سر
تعمیرکاری,تعمیر کار ی
پراکندهاند,پراکنده اند
بازداشتند,باز داشتند
آزادانهی,آزادانه ی
طنزآمیزی,طنز آمیزی
سردابهی,سردابه ی
ترازیابی,تراز یابی
آتشدان,آتش دان
کیسههای,کیسه ها ی
چتروار,چتر وار
جانداننمایشگر,جا ندان نمایش گر
خندهآوری,خنده آوری
کتیبهی,کتیبه ی
بیستون,بی ستون
بزنبزن,بزن بزن
ردپا,رد پا
میپیچند,می پیچند
خواهی_نخواهی_به,خواهی نخواهی به
خواهی_نخواهی_خواهیم_رفت,خواهی_نخواهی خواهیم رفت
مخفیگاهشان,مخفی گاه شان
مخچوان,مخ چوان
دیباچهی,دیباچه ی
خواهدکرد,خواهد کرد
ابرام,ابرا م
ملالانگیز,ملال انگیز
خوشبو,خوش بو
ترارسانی,ترا رسانی
پختهاند,پخته اند
بیهودهای,بیهوده ای
کهنسال,کهن سال
دنبالهروی,دنباله روی
گوشتها,گوشت ها
ایاگوتحریک,ایاگو تحریک
نحوهی,نحوه ی
حرفهایم,حرف ها ی م
صلحنامه,صلح نامه
نوشابهی,نوشابه ی
گذاشته_خواهد_شد,گذاشته خواهد شد
آنقدرگسترده,آن قدر گسترده
عدهی,عده ی
کهنهپرست,کهنه پرست
منزلتان,منزل تان
گهوارهاش,گهواره اش
بوبو,بو بو
وپرتابههای,و پرتابه های
برمیخوردند,بر می خوردند
شبانهی,شبانه ی
بارکش,بار کش
سنجهی,سنجه ی
آموزهی,آموزه ی
غنوده_بود,غنوده بود
وسفید,و سفید
خواهد_چسبید,خواهد چسبید
هنرپیشهی,هنر پیشه ی
فرومایهترین,فرومایه ترین
داده_نشده_است,داده نشده است
پایهدار,پایه دار
محافظهکار,محافظه کار
شلفهای,شلف های
سبکسری,سبک سری
ناخالصیهای,نا خالصی ها ی
رنگپردازی,رنگ پردازی
رنوار,رنوا ر
مینشینم,می نشینم
متفرقهی,متفرقه ی
پلوپز,پلو پز
گدازهی,گدازه ی
نوکرها,نوکر ها
لواطه,لواط ه
شامهی,شامه ی
خستو,خست رو
فروپاشی,فرو پاشی
میانجیگری,میانجی گری
بناها,بنا ها
صخرهای,صخره ای
خانههایی,خانه ها یی
سلیطهای,سلیطه ای
تولههایش,توله ها یش
میدزدیدند,می دزدیدند
لذاتصمیم,لذا تصمیم
خواهد_گذارد,خواهد گذارد
میخواستشهرنشین,می خواست شهر نشین
روستانشینی,روستا نشینی
گردوخاک,گرد و خاک
توفانها,توفان ها
پایانهی,پایانه ی
بازماندهی,بازمانده ی
رفاقتهای,رفاقت ها ی
میفروخت,می فروخت
موطلاییها,مو طلایی ها
میبایست,می بایست
مشروبخواری,مشروب خواری
زدنه,زدن ه
سوکور,سو کور
سنجیدهی,سنجیده ی
النهایه,الی نهایه
بیحساب,بی حساب
رفیقت,رفیق ت
عددها,عدد ها
گوسفندها,گوسفند ها
مجراهای,مجرا ها ی
خواهد_گشود,خواهد گشود
تحققناپذیر,تحقق نا پذیر
زدهام,زده ام
سازتر,ساز تر
هیجانزدگی,هیجان زدگی
شغلهای,شغل ها ی
تدبیرهای,تدبیر ها ی
فرونشاندیم,فرو نشاندیم
آماده_شده_بود,آماده شده بود
صدمهی,صدمه ی
پاراوان,پاراوا ن
برهنهاش,برهنه اش
حریقهای,حریق های
درخواهم,در خواهم
سرآنها,سر آن ها
کشته_است,کشته است
ناسازه,نا سازه
کشتنشده,کشت نشده
مردهسان,مرده سان
گشادهرویی,گشاده رویی
خشنتری,خشن تری
مارپلاس,مارپلا س
دیکتاتورها,دیکتاتور ها
خربزههای,خربزه ها ی
روسیاه,رو سیاه
میگذراندند,می گذراندند
میدوم,می دوم
رنگرزی,رنگ رزی
رنگه,رنگ ه
خبیثه,خبیث ه
میچرخانند,می چرخانند
روگشته,رو گشته
فرورفته_بود,فرو رفته بود
پولکدار,پولک دار
روستایینما,روستایی نما
دورود,دو رود
همبندی,هم بندی
پهنههای,پهنه ها ی
تخمکشی,تخم کشی
انگشتهای,انگشت ها ی
پسافتاد,پس افتاد
بیدرز,بی درز
مطران,مطرا ن
ناوسان,ناو سان
عایقبندی,عایق بندی
کفسان,کفسا ن
بچههایم,بچه ها ی م
پرفعالیت,پر فعالیت
ازراه,از راه
توطئهآمیز,توطئه آمیز
جامهآرایی,جامه آرایی
دوردستی,دور دستی
زبردستانه,زبر دستانه
پسکشند,پس کشند
برکشند,بر کشند
دستیازی,دست یازی
خواهید_فرمود,خواهید فرمود
نیشش,نیش ش
پدران,پدر ان
پرعضله,پر عضله
شرافتم,شرافت م
برنداشتم,بر نداشتم
ترازوی,ترازو ی
درآوریم,در آوریم
لجوجانهی,لجوجانه ی
سرسوزنی,سر سوزنی
دیوارهایی,دیوار ها یی
نیکنام,نیک نام
دورخیز,دور خیز
اقتصادمان,اقتصاد مان
کشوهای,کشو ها ی
پربرگ,پر برگ
نقطهچین,نقطه چین
نقطهای,نقطه ای
الهگان,الهه گان
حماسههای,حماسه ها ی
گیاگان,گیاگا ن
خاصیتهای,خاصیت ها ی
شفابخشی,شفا بخشی
باکیسههای,با کیسه های
هرطوری,هر طوری
نخواهم_شد,نخواهم شد
احوالپرسی,احوال پرسی
کوچگران,کوچ گر ان
هفتمین,هفت مین
برشمرد,بر شمرد
ردههای,ردهها ی
سفرهایش,سفرها یش
فروبکشد,فرو بکشد
آروارههایش,آرواره ها یش
گانهی,گانه ی
رامورد,را مورد
خرمای,خرما ی
بیهسته,بی هسته
یوزپلنگ,یوز پلنگ
امیرنشین,امیر نشین
بمبافکن,بمب افکن
دومنظوره,دو منظوره
بیعرضههای,بی عرضه ها ی
نخواهند_کرد,نخواهند کرد
ساخته_بودند,ساخته بودند
بجوری,بجور ی
بهراستی,به راستی
نقیضهای,نقیض ها ی
ساختشناسی,ساخت شناسی
بالدار,بال دار
میلیونرها,میلیونر ها
توفانهای,توفان ها ی
تیمارگاه,تیمار گاه
پرمشقت,پر مشقت
میانجیگر,میانجی گر
نگرانکنندهی,نگران کننده ی
خانوادههایی,خانواده ها یی
نمیترسید,نمی ترسید
پرداختهای,پرداخت ها ی
قرینهی,قرینه ی
خوششانسی,خوش شانسی
پختهی,پخته ی
یگانها,یگان ها
اولیها,اولی ها
آبراههای,آبراه ها ی
درونبومی,درون بومی
خیراندیشی,خیر اندیشی
محالفت,مخالفت
فرآوردهای,فرآورده ای
دلپسندتر,دل پسند تر
برافراشت,بر افراشت
شنپاشی,شن پاشی
پارهپاره,پاره پاره
ویرانگری,ویران گری
پستتر,پست تر
قمارباز,قمار باز
اثرمنزه,اثر منزه
تهنیتگویی,تهنیت گویی
بدگویان,بد گویان
مادرزنش,مادر زن ش
ابیراهی,ابیراه ی
پرزوری,پر زوری
پیشگامانهی,پیش گامانه ی
تندروتری,تندرو تر ی
لالهزار,لاله زار
پسفردا,پس فردا
تیرپرانی,تیر پرانی
نگو;,نگو
سریعالانتقال,سریع الانتقال
رودوزی,رو دوزی
شرارههای,شراره ها ی
ساماندهی,سامان دهی
سایبان,سایه بان
فراگستر,فرا گستر
آمدهی,آمده ی
بریدهی,بریده ی
مدپرستان,مد پرست ان
پرجوش,پر جوش
پیافکندم,بیافکندم
فروشندهی,فروشنده ی
دریاییها,دریایی ها
ریزآراستهی,ریز آراسته ی
تراشهی,تراشه ی
رانشگر,رانش گر
ایثارگرانهای,ایثار گرانه ای
ارتشها,ارتش ها
ناهمخوان,ناهم خوان
حسابگری,حساب گری
پندارهگرایی,پنداره گرایی
کاشیها,کاشی ها
خواهد_تراوید,خواهد تراوید
گردآمدهاند,گرد آمده اند
خریده_است,خریده است
بعبع,بع بع
تعریفهایی,تعریف ها یی
میخندی,می خندی
ورزیدهای,ورزیده ای
غیردقیق,غیر دقیق
رفته_باشد,رفته باشد
مخهای,مخ های
زاهدانهاش,زاهدانه اش
بیحواسی,بی حواسی
بدرنگ,به درنگ
راحتیهای,راحتی ها ی
غولآسایآن,غول آسایآن
میتابیدند,می تابیدند
دریافتیها,دریافتی ها
آبفشانها,آبفشان ها
دنبالروی,دنباله روی
سروسامان,سر و سامان
خانوادگیش,خانوادگی ش
ترشرویی,ترش رویی
غبطهآمیزی,غبطه آمیزی
بخشنامهی,بخش نامه ی
رفته_شده_است,رفته شده است
ترکیزهها,ترکیزه ها
بزرگنمایی,بزرگ نمایی
نهاده_است,نهاده است
پندارش,پندار ش
مشاعرش,مشاعر ش
ناوری,ناور ی
خلافکاریها,خلاف کاری ها
اردکها,اردک ها
تنپایه,تن پایه
مادرگونه,مادر گونه
باروک,بارو ک
دنبالهداری,دنباله داری
سرعتهای,سرعت ها ی
میشتابند,می شتابند
شرابچش,شراب چش
اعتراضکنندگان,اعتراض کنندگان
محمولهی,محموله ی
سوختهاش,سوخته اش
تاولهای,تاول ها ی
پنصد,پانصد
سریعترین,سریع ترین
انگلیسیتبار,انگلیسی تبار
بیمحتوا,بی محتوا
قایقهای,قایق ها ی
جویبارها,جویبار ها
ناجنبا,ناجنب ا
اسطقس,اسطق س
اسلامآباد,اسلام آباد
آغشته_شده_بود,آغشته شده بود
نابتر,ناب تر
آسیبپذیرترین,آسیب پذیر ترین
بیقاعدگی,بی قاعده گی
همادین,همادی ن
بحیوان,به حیوان
آبروریزی,آبرو ریزی
سلسلهی,سلسله ی
سفیرکبیر,سفیر کبیر
نگهمیدارند,نگه می دارند
موبهموی,مو به موی
شدهها,شده ها
شنهای,شن ها ی
پرناز,پر ناز
رگهایی,رگ ها یی
لختههای,لخته ها ی
آمیزههای,آمیزه ها ی
سروسهی,سرو سهی
وانمودن,وا نمودن
گوشماهی,گوش ماهی
انگمدار,انگ مدار
دورانداختنی,دور انداختنی
جلوهزدایی,جلوه زدایی
دریاراههای,دریا راه ها ی
ششماهه,شش ماهه
تقریباخفه,تقریبا خفه
تاهنگامی,تا هنگامی
تردستیهای,تردستی ها ی
نخنما,نخ نما
جانانهی,جانانه ی
پاسخش,پاسخ ش
چرخساز,چرخ ساز
بازپرداخت,باز پرداخت
وامهای,وام ها ی
روگردانی,رو گردانی
ظالمانهترین,ظالمانه ترین
ترشرو,ترش رو
سازندهی,سازنده ی
بیغذا,بی غذا
الههی,الهه ی
حافظهای,حافظه ای
پیزا,پیتزا
بعداز,بعد از
سرگرمیها,سرگرمی ها
سبزیهای,سبزی های
شلاقوار,شلاق وار
بریده_شد,بریده شد
بدجنسانهای,بدجنسانه ای
طربناکی,طرب ناکی
سربالا,سر بالا
دورشو,دور شو
تلهای,تله ای
مخاطرهی,مخاطره ی
قلمکاری,قلم کاری
بذلههای,بذله های
ظالمانهای,ظالمانه ای
سرسیری,سرد سیری
اندریافت,اندر یافت
نشانهگذاری,نشانه گذاری
میرقصید,می رقصید
کشته_شوند,کشته شوند
دونفری,دو نفری
بدیعهای,بدیع های
درآوردیم,در آوردیم
روانهی,روانه ی
تصمیمهای,تصمیم های
حدفاصل,حد فاصل
زدوده_شده_بود,زدوده شده بود
کندوکاوهای,کندوکاو های
حقوقبگیرها,حقوق بگیر ها
بازداشتگاهها,بازداشتگاه ها
دهشتزده,دهشت زده
پرماجرا,پر ماجرا
گیرانهی,گیرانه ی
پشتوارههای,پشتواره های
چینیها,چینی ها
ردهی,رده ی
پایانیترین,پایانی ترین
جوانهی,جوانه ی
هایدن,هاید ن
زبانههای,زبانه های
خوشهای,خوشه ای
تپانچهاش,تپانچه اش
طرفهای,طرف های
منزلهی,منزله ی
سلامتیاش,سلامتی اش
بچهگانهی,بچه گانه ی
مینمودند,می نمودند
بیدادگریهای,بیدادگری های
بردهوار,برده وار
هرسرباز,هر سرباز
خطرهایی,خطر هایی
همزاد,هم زاد
خطمشی,خط مشی
باپیچاندن,با پیچاندن
فریادهای,فریاد های
خسته_بودند,خسته بودند
هراسانگیز,هراسان انگیز
بادهنوشی,باده نوشی
تصدیریاست,تصدی ریاست
نبردگاه,نبرد گاه
پردازیهای,پردازی های
تراگرد,ترا گرد
انشاهای,انشا های
تاسهای,تاس های
مدرسهها,مدرسه ها
زده_شدند,زده شدند
شورویهای,شوروی های
نشاندهی,نشان دهی
همخط,هم خط
صحنهپرداز,صحنه پرداز
یخرفته,یخرفت ه
چوبپنبه,چوب پنبه
دریاییهای,دریایی های
غیرطبقاتی,غیر طبقاتی
گونهها,گونه ها
تبعیضآمیز,تبعیض آمیز
برنزهی,برنزه ی
همهجاست,همه جاست
خمرههای,خمره های
روشنگرانهی,روشنگرانه ی
شمشیربازی,شمشیر بازی
برگرفتند,بر گرفتند
تروریستهاهیچ,تروریست ها هیچ
نابههنجار,نابهنجار
محقرانهی,محقرانه ی
کهتنبیه,که تنبیه
نمیخواند,نمی خواند
سکوهای,سکو های
ذرتها,ذرت ها
متنباز,متن باز
خنجرها,خنجر ها
طپانچهها,طپانچه ها
هنهن,هن هن
بمثابهٔ,به مثابهٔ
نرسانده_است,نرسانده است
هوشیاش,هوشی اش
شکنجهگران,شکنجه گران
اهانتآمیز,اهانت آمیز
نمیگفت,نمی گفت
ددمنشی,دد منشی
تنگراه,تنگ راه
لولههای,لوله های
فالوپ,فالو پ
مهرههای,مهره های
مرده_بودند,مرده بودند
مدعابه,مدعا به
ریخته_شده_بود,ریخته شده بود
حرفهایه,حرف های
اسطورههایی,اسطوره هایی
پارتیزانها,پارتیزان ها
پوشاندهاند,پوشانده اند
علمداران,علم داران
غیرعملی,غیر عملی
بینوا,بی نوا
درصدد,در صدد
سالنمای,سال نمای
وهمهی,و همه ی
برسرم,بر سرم
خرسندیهای,خرسندی های
واژهشناسی,واژه شناسی
نیمکرههای,نیم کره های
دوپهلوی,دو پهلوی
بزرگوارانهی,بزرگوارانه ی
آردها,آرد ها
خشکتر,خشک تر
واقعبینانه,واقع بینانه
میشنید,می شنید
پرانگاشت,پر انگاشت
کژراهانهی,کژ راهانه ی
غیرلفظی,غیر لفظی
سفرهی,سفره ی
عموهایش,عمو هایش
فیلهی,فیله ی
فروشانی,فروشان ی
حقیرانهی,حقیرانه ی
مینوشتند,می نوشتند
آیتالله,آیت الله
اسمها,اسم ها
فوقالعادهی,فوق العاده ی
نزده_است,نزده است
دستمزدها,دستمزد ها
اقوامکهن,اقوام کهن
ساحرههای,ساحره های
آوردهاست,آورده است
خواهد_توانست,خواهد توانست
معو,مع و
مکعبهای,مکعب های
درآشامید,در آشامید
کرانهی,کرانه ی
غیرآزاد,غیر آزاد
لیسانسیهی,لیسانسیه ی
امامها,امام ها
لگدکوب,لگد کوب
آرامپز,آرام پز
چیرهتری,چیره تری
قطعهی,قطعه ی
گردبر,گرد بر
شبگاه,شب گاه
بخوبی,به خوبی
همریز,هم ریز
فروشویی,فرو شویی
برگرداندم,بر گرداندم
مخلصانهترین,مخلصانه ترین
دندانههای,دندانه های
بیبندوبار,بی بندوبار
نهفتهی,نهفته ی
جربزهی,جربزه ی
ماشهی,ماشه ی
وحشیانهی,وحشیانه ی
درکردن,در کردن
بسکتبالیستهایی,بسکتبالیست هایی
دونترین,دون ترین
شکنانهترین,شکنانه ترین
شنیده_بودیم,شنیده بودیم
دمهای,دم های
گرفتگر,گرفت گر
میوزید,می وزید
بودست,بوده است
نخوابیده_بود,نخوابیده بود
بااین,با این
برنمیدارد,بر نمی دارد
تراوهها,تراوه ها
داستانهایش,داستان هایش
بیعزت,بی عزت
نگاشته_شده_است,نگاشته شده است
ماپیوست,ما پیوست
پرطرفدار,پر طرفدار
سابقهتر,سابقه تر
خودمیزبان,خود میزبان
اصلاحطلب,اصلاح طلب
ناهماندیشی,نا هم اندیشی
پیرترین,پیر ترین
جوانهاست,جوانه است
مشارکتترین,مشارکت ترین
نجیبزادگان,نجیب زادگان
عمومیاند,عمومی اند
اقدامهایی,اقدام هایی
تمامشده,تمام شده
قائن,قائ ن
استارتآپهای,استارت آپ های
تننباوم,تننباو م
برنامههایش,برنامه هایش
زیرساختی,زیر ساختی
نامهایی,نام هایی
پیشگزیده,پیش گزیده
میزکار,میز کار
آزادتر,آزاد تر
اجتمای,اجتماع
تلاشهای,تلاش های
نمیرسیدند,نمی رسیدند
آمارهای,آمار های
ویکیمدیا,ویکی مدیا
یکچهارم,یک چهارم
پیشنهادها,پیشنهاد ها
خواهند_شتافت,خواهند شتافت
بعهده,به عهده
اوکاملا,او کاملا
بیهنر,بی هنر
میدوشند,می دوشند
شیرینیهای,شیرینی های
جوجهتیغی,جوجه تیغی
جاکفشی,جا کفشی
دهدشت,ده دشت
خردکن,خرد کن
طنابها,طناب ها
هرشب,هر شب
آراستهای,آراسته ای
همبست,هم بست
گهگاهی,گه گاهی
خرافهپرستانی,خرافه پرستانی
نامغذی,نا مغذی
دنگدنگ,دنگ دنگ
آینهی,آینه ی
زرهدار,زره دار
طالعبینی,طالع بینی
غیردوستانه,غیر دوستانه
سرخکن,سرخ کن
جثهاش,جثه اش
دورسرش,دور سرش
پرثمر,پر ثمر
پرکن,پر کن
آدمخواری,آدم خواری
بیکران,بی کران
رفتهام,رفته ام
سیمها,سیم ها
کمکهای,کمک های
پوزهبند,پوزه بند
عکسبرداری,عکس برداری
بیاختیار,بی اختیار
بیموج,بی موج
نمیگنجید,نمی گنجید
نخورده_بود,نخورده بود
اسپوکهای,اسپوک های
پرتاوی,پر تاوی
ومرا,و مرا
میمالید,می مالید
سالهی,ساله ی
زده_نشود,زده نشود
شاخابههای,شاخابه های
برگرداندیم,بر گرداندیم
بهتانگیز,بهتان انگیز
سرسختانهی,سر سختانه ی
کمینگاه,کمین گاه
خطها,خط ها
بلندپایهی,بلندپایه ی
فلاکتهایی,فلاکت هایی
اعتصابکنندگان,اعتصاب کنندگان
هوشمندانهی,هوشمندانه ی
بیمارگونهی,بیمارگونه ی
بیضیهای,بیضی های
نمیرسند,نمی رسند
انباشتههای,انباشته های
آنسوی,آن سوی
وشوهر,و شوهر
سیاستبازهای,سیاست باز های
دردسرهای,دردسر های
برمغز,بر مغز
بمن,به من
داخلو,داخل و
دستاندر,دستان در
نمیدزدد,نمی دزدد
عتیقهی,عتیقه ی
دوگنبدان,دو گنبدان
محدودهی,محدوده ی
تردیداند,تردیدان د
کرمزدایی,کرم زدایی
بارهی,باره ی
بیحیا,بی حیا
فاجعهها,فاجعه ها
گنهکارانهی,گنهکارانه ی
گاوهای,گاو های
میچراند,می چراند
ناپذیرفتنی,نا پذیرفتنی
ابلهی,ابله ی
آروارهام,آرواره ام
اسطورهی,اسطوره ی
پیرزنها,پیرزن ها
همزیستی,هم زیستی
زندانهایشان,زندان هایشان
کمباران,کم باران
آروارههای,آرواره های
دروغها,دروغ ها
کمانگیر,کمان گیر
ناپشیمان,نا پشیمان
افتادهی,افتاده ی
درزگیری,درز گیری
نیروگاه,نیرو گاه
همشانهای,همشانه ای
میکوفتند,می کوفتند
هیچکاری,هیچ کاری
سورتمهی,سورتمه ی
مراجمه,مراجم ه
بآراء,به آراء
انیفورمهای,انیفورم های
ترنچهار,ترنچها ر
کشتیگیری,کشتی گیری
بلخشیدهام,بلخشیده ام
میسوزند,می سوزند
پیشپنداشت,پیش پنداشت
بریدههای,بریده های
نشستهای,نشسته ای
یخرودی,یخرود ی
چفتهای,چفت های
ردکرده,رد کرده
بقالیها,بقالی ها
ازگندمها,از گندم ها
بلعیده_شد,بلعیده شد
بیغولهی,بیغوله ی
دهشگر,دهش گر
نخواهند_.,نخواهند
بازدارندهای,باز دارنده ای
میشکند,می شکند
تزاید,تزای د
بنیهی,بنیه ی
آرامتر,آرام تر
پرکار,پر کار
چمنها,چمن ها
ماکسول-لیت,ماکسول لی ت
ماسههای,ماسه های
کمعمق,کم عمق
میدوند,می دوند
کشیده_شوند,کشیده شوند
جهشهای,جهش های
تکژن,تک ژن
پوشیدهاند,پوشیده اند
همگن,هم گن
موتورسواری,موتور سواری
ایستاده_اند,ایستاده اند
علفزار,علف زار
رمزگذاری,رمز گذاری
پروازیهای,پروازی های
چلهی,چله ی
ساقهها,ساقه ها
پرتقالهای,پرتقال های
بهرهمندی,بهره مندی
علیالبدل,علی البدل
کرهایها,کره ایها
قفسهای,قفس های
پنجرههایی,پنجره هایی
بیتصمیمی,بی تصمیمی
آشتیگرانهی,آشتی گرانه ی
طلاقها,طلاق ها
لثهها,لثه ها
غمافزا,غم افزا
غیرصمیمانه,غیر صمیمانه
امتیازهای,امتیاز های
نسخهی,نسخه ی
پیشهای,پیشه ای
خرها,خر ها
تمایزهای,تمایز های
فورانهای,فوران های
نخواهی_او,نخواهی او
دلدیس,دل دیس
نبرده_بود,نبرده بود
برادههای,براده های
شایستهایبرای,شایسته ای برای
پیامگیر,پیام گیر
زتو,ز تو
صوفیگری,صوفی گری
خریدهاند,خریده اند
پیراهنها,پیراهن ها
یادروغگویی,یا دروغگویی
پایاننامه,پایان نامه
شعفانگیز,شعف انگیز
خمپارههایی,خمپاره هایی
همباش,هم باش
رایزنکدهی,رایزنکده ی
بیپیرایه,بی پیرایه
جنبآور,جنب آور
پارهسال,پاره سال
بدقلقی,بد قلقی
تندرست,تن درست
سانسورچی,سانسور چی
فوارههایی,فواره هایی
جهانههای,جهانه های
خرمدل,خرم دل
تمدنهایی,تمدن هایی
چوبتر,چوب تر
لجباز,لج باز
سهتار,سه تار
مینوازد,می نوازد
جوانههای,جوانه های
پستانبند,پستان بند
بیشانهآویز,بی شانه آویز
دروغپردازی,دروغ پردازی
جمعهای,جمع های
همجنسباز,هم جنس باز
خواهد_است,خواهد است
پرسبیتاریان,پرسبیتاریا ن
همجنسبازان,هم جنسبازان
زیانبخش,زیان بخش
گردنکش,گردن کش
خودمختار,خود مختار
اثاثیهاش,اثاثیه اش
اجارهبها,اجاره بها
نوشتهها,نوشته ها
مادربزرگه,مادر بزرگه
بنایهای,بنای های
تهمتآمیزی,تهمت آمیزی
روژلب,روژ لب
پارچهها,پارچه ها
تیزهی,تیزه ی
آسمانخراش,آسمان خراش
ساختهاش,ساخته اش
زنگولههای,زنگوله های
چلهای,چله ای
شتابزدگی,شتاب زدگی
شکوهآمیزی,شکوه آمیزی
نمیایستاد,نمی ایستاد
ریزهای,ریز های
بیسقف,بی سقف
گرفته_شد,گرفته شد
پستچی,پست چی
دستورهای,دستور های
چپگرا,چپ گرا
نهانسازی,نهان سازی
منطقهبندی,منطقه بندی
قلههای,قله های
کوهنوردان,کوه نوردان
بومکند,بومکن د
